full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,rating,rating_count,business_status,monday_operational_hours,tuesday_operational_hours,wednesday_operational_hours,thursday_operational_hours,friday_operational_hours,saturday_operational_hours,sunday_operational_hours
"Sunset , 1630 W Sunset Rd , Henderson , NV , 89014",36.0642091,-115.057129,LUV Car Wash,36.064170499999996,-115.05711749999998,4.3,1362,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM
"Sunshine / SasqWash Express , 4603 Churn Creek Rd , Redding , CA , 96002",40.5421253,-122.3510361,SasqWash Car Wash,40.542125299999995,-122.3510361,4,179,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM
"Super 4 Season Car Wash , 68 NY-59 , Spring Valley , NY , 10977",41.1056983,-74.0332775,Shell,41.105678499999996,-74.0332919,4,41,OPERATIONAL,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
"Super Duck Hazel Green , 14533 US-231 , Hazel Green , AL , 35750",34.9431964,-86.5724199,Super Duck Car Wash,34.9431964,-86.5724199,4.8,253,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,9:00 AM – 6:00 PM
"Super Duck Madison , 8392 Hwy 72 W , Madison , AL , 35757",34.7498855,-86.7653808,Super Duck Car Wash,34.7498855,-86.7653808,4.7,355,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Super Duper , 17670 Castleton St , City of Industry , CA , 91748",33.9930313,-117.9182436,Super Duper Car Wash,33.9929434,-117.9184702,4.2,130,OPERATIONAL,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM,7:15 AM – 8:00 PM
"Super Scrub Car Wash , 4405 Pacific Ave , Stockton , CA , 95207",37.9878675,-121.3117603,Super Scrub Car Wash,37.9878675,-121.31176029999999,4.2,45,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Super Splash Carwash , 400 S Preston Rd , Prosper , TX , 75078",33.2330554,-96.7926381,SuperSplash Car Wash & Lube Center,33.2330554,-96.79263809999999,4,426,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,9:00 AM – 5:00 PM
"Super Suds Carwash , 2563 Panola Rd , Lithonia , GA , 30058",33.7133668,-84.1662789,Super Suds Car Wash,33.713366799999996,-84.16627890000001,4.8,461,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 7:00 PM
"Superfine Lakewood , 21011 Pioneer Blvd , Lakewood , CA , 90715",33.8384853,-118.0823683,Superfine Auto Spa,33.838485299999995,-118.0823683,3.6,205,OPERATIONAL,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM
