full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",35.9021523,-78.6532466,29,0.08687690293118627,0.1170698787144513,0.26351207026909235,0.26392812187405496,0.3150132895183252,0.32690632366059297,0.544265078280678,0.6344059536663472,0.7966128303769803,1.1242794530014515
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,27,0.0697002957977897,0.08172648895921744,0.2482546162811682,0.39085840072833705,0.764990290584407,0.7917240025064554,0.812761191103228,0.9262368142890512,0.9519342145691615,0.976112899589485
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",39.3604653,-104.6205128,3,0.6590148629023833,0.8820238725624436,1.6591820517237676,,,,,,,
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",29.6913423,-95.7670162,16,0.02880913249004358,0.13215366117975158,0.19396648990442594,0.7819674624353325,0.8091034596465398,0.8323536251264271,0.8581972223092451,1.5031258265862042,1.5393332830753814,1.6002035423609113
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",34.0762511,-84.0602463,1,1.2294618750590038,,,,,,,,,
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",33.9686995,-84.0368456,29,0.08474877937716589,0.35499311139768325,0.4256128338372342,0.5468456230486571,0.5578899181028291,0.7006629430759179,0.7806285595902849,0.7908598173138796,0.9899369510838104,1.011984021301638
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,30,0.09151611241642992,0.09368238770922678,0.17175948800877877,0.3390109453143233,0.3494887149979962,0.38799262175734595,0.525470002474097,0.532726380272459,0.6561466914828953,0.7420849408155303
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",34.1666588,-84.177562,17,0.15964738517520422,0.419977356130925,0.46172578165086015,0.5408062493953607,0.5711935883961163,0.6706735185279231,0.7207729185843212,0.9124688163126224,1.046824876647226,1.0662140199951637
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",44.9834269,-122.9838017,38,0.03540061339606784,0.396942874235266,0.43872287518897884,0.4592034540436227,0.46193359634918246,0.4800916039211334,0.5374818723314697,0.6919674103377967,0.848423904260338,0.9705480496762781
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",30.3135949,-81.565618,34,0.12536253631508915,0.20517954800840996,0.404668876010266,0.40548547077010405,0.4335039886394823,0.5759747404760381,0.7278128007590368,0.7293871965763875,0.780014376741791,0.8021565319703712
