Company Name,Headquarters,Established Date,Site Count,Financial Sponsor,States,Website,,,,,,,,,,,,,,,,,,,
SpeedWash Car Wash,Kentucky,1999,10,None,Kentucky | Indiana,https://speedwashusa.com/,,,,,,,,,,,,,,,,,,,
Suds Deluxe Car Wash,Texas,2019,10,None,Texas,https://www.sudsdeluxe.com/,,,,,,,,,,,,,,,,,,,
WashGuys Car Wash,Texas,2009,10,None,Texas,https://washguystx.com/,,,,,,,,,,,,,,,,,,,
Auto Spa Car Wash (WA),Washington,2002,9,None,Washington,https://www.autospacw.com,,,,,,,,,,,,,,,,,,,
Benny�s Car Wash,Louisiana,1951,9,None,Louisiana,https://www.bennyscarwash.com/,,,,,,,,,,,,,,,,,,,
Driven Car Wash,Illinois,2021,9,None,Illinois,https://drivencarwash.com/,,,,,,,,,,,,,,,,,,,
Fabulous Freddy�s Car Wash,Nevada,1998,9,None,Nevada | Utah,https://fabfred.com/,,,,,,,,,,,,,,,,,,,
Jet Splash Car Wash,Nebraska,2003,9,None,Nebraska,https://jetsplash.com,,,,,,,,,,,,,,,,,,,
Radiant Express Car Wash,Florida,1931,9,None,Florida,https://www.radiantexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Velocity Car Wash,Colorado,2021,9,None,Colorado | Utah,https://www.velocitywash.com/,,,,,,,,,,,,,,,,,,,
Auto Spa LA,Louisiana,1998,8,None,Louisiana,https://autospala.com/,,,,,,,,,,,,,,,,,,,
Clearwave Car Wash,Illinois,2016,8,None,Illinois | Michigan,https://clearwavecarwash.com/,,,,,,,,,,,,,,,,,,,
Ocean Blue Car Wash,Arizona,2004,8,None,Arizona,https://oceanbluecarwash.com/,,,,,,,,,,,,,,,,,,,
Snap Clean Car Wash,Texas,2017,8,None,Texas,https://snapcleancarwash.com/,,,,,,,,,,,,,,,,,,,
Speedwash,California,2014,8,None,California,https://www.speedwashes.com/,,,,,,,,,,,,,,,,,,,
Sud Stop Car Wash,Florida,2024,8,Real Capital Partners,Florida | Georgia | Alabama | North Carolina | South Carolina,https://www.sudstopcarwash.com/,,,,,,,,,,,,,,,,,,,
Ace Auto Wash,Michigan,2018,7,None,Michigan,https://www.aceautowash.com/,,,,,,,,,,,,,,,,,,,
BlueBird Express Car Wash,Idaho,2018,7,None,Idaho | Oregon,https://bluebirdexpress.com,,,,,,,,,,,,,,,,,,,
Dream Clean Car Wash,Illinois,2023,7,None,Illinois,https://www.dreamcleancw.com/,,,,,,,,,,,,,,,,,,,
H2Go Car Wash,California,2010,7,Privately Owned,California,https://h2gocarwash.com/,,,,,,,,,,,,,,,,,,,
Pony Express Carwash,Idaho,2018,7,None,Idaho,https://ponycarwash.com/,,,,,,,,,,,,,,,,,,,
Washtopia Car Wash,Tennessee,2016,7,None,Tennessee,https://washtopia.com/,,,,,,,,,,,,,,,,,,,
American Pride Xpress Carwash,North Carolina,1981,6,None,North Carolina,https://americanpridexpress.com/,,,,,,,,,,,,,,,,,,,
Canton Car Wash,Maryland,2009,6,None,Maryland,https://cantoncarwash.com/,,,,,,,,,,,,,,,,,,,
Endless Clean Car Wash,Texas,,6,None,Texas,https://endlesscleancarwash.com/,,,,,,,,,,,,,,,,,,,
Mr. Sparkle Car Wash,Connecticut,1966,6,None,Connecticut | Massachusetts | New Jersey,https://www.mrsparklecarwash.com/,,,,,,,,,,,,,,,,,,,
Mr. Splash Car Wash,Wisconsin,2010,6,Argosy Private Equity,Wisconsin,https://mrsplashcarwash.com/,,,,,,,,,,,,,,,,,,,
Pete's Express Car Wash,Pennsylvania,2006,6,None,Pennsylvania,https://petesexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
RaceWash,Florida,2010,6,None,Florida | Indiana | Kentucky,https://racewash.com/,,,,,,,,,,,,,,,,,,,
Screaming Eagle  Express Car Wash,Tennessee,2023,6,None,Tennessee,https://www.screamingeagleexpress.com/,,,,,,,,,,,,,,,,,,,
Shur-Kleen Car Wash,Washington,1985,6,None,Washington,https://www.shurkleencarwash.com/,,,,,,,,,,,,,,,,,,,
Spin Car Wash,Florida,2018,6,None,Florida,https://spincarwash.com/,,,,,,,,,,,,,,,,,,,
Supershine Xpress Carwash,Georgia,2019,6,None,Georgia,https://supershinexpress.com/,,,,,,,,,,,,,,,,,,,
5 Minute Express Car Wash,Mississippi,2006,5,None,Mississippi,https://5minuteexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Cadillac Express Car Wash,Texas,2012,5,None,Texas,https://www.cadillacexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Fast Freddy�s Car Wash,Kentucky,2018,5,None,Kentucky,https://fastfreddyscarwashes.com/,,,,,,,,,,,,,,,,,,,
FullSpeed Automotive,Colorado,,5,None,New Mexico | Texas,https://fullspeedautomotive.com/,,,,,,,,,,,,,,,,,,,
Magic Brush Car Wash,California,2021,5,None,California,https://www.magicbrushexpress.com/,,,,,,,,,,,,,,,,,,,
Soapy Noble Car Wash,Connecticut,2022,5,None,Connecticut | Massachusetts,https://soapynoble.com/,,,,,,,,,,,,,,,,,,,
Waves Express Car Wash,South Carolina,2017,5,None,South Carolina,https://wavesexpresswash.com/,,,,,,,,,,,,,,,,,,,
Four Seasons Car Wash,,,4,None,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
